firstName,regionOrigin,regionOrigin
RUBY,Europe,Northern Europe
RUSSELL,Europe,Northern Europe
RUTH,Africa,Western Africa
RYAN,Europe,Northern Europe
RYDER,Europe,Northern Europe
RYKER,Asia,Western Asia
RYLAN,Europe,Northern Europe
RYLEE,Europe,Northern Europe
SABRINA,Europe,Southern Europe
SADIE,Europe,Northern Europe
SALLY,Europe,Northern Europe
SAMANTHA,Asia,Southern Asia
SAMUEL,Africa,Eastern Africa
SANDRA,Europe,Southern Europe
SARA,Africa,Northern Africa
SARAH,Europe,Northern Europe
SAVANNAH,Africa,Western Africa
SAWYER,Asia,Central Asia
SCARLETT,Europe,Northern Europe
SCOTT,Europe,Northern Europe
SEAN,Asia,South-Eastern Asia
SEBASTIAN,Europe,Western Europe
SELENA,Europe,Southern Europe
SERENA,Europe,Eastern Europe
SETH,Asia,South-Eastern Asia
SETSUKO,Asia,Eastern Asia
SHANE,Europe,Northern Europe
SHANIA,Asia,Western Asia
SHANNON,Europe,Northern Europe
SHARON,Asia,Western Asia
SHARRON,Europe,Northern Europe
SHAUN,Europe,Northern Europe
SHAUNA,Africa,Southern Africa
SHAWN,Europe,Northern Europe
SHAWNA,Asia,Southern Asia
SHAYLA,Asia,Western Asia
SHEENA,Asia,Southern Asia
SHEILA,Europe,Northern Europe
SHELBY,Europe,Northern Europe
SHELDON,Europe,Northern Europe
SHELLEY,Europe,Northern Europe
SHELLY,Europe,Northern Europe
SHERI,Asia,Western Asia
SHERRI,Asia,Western Asia
SHERRY,Europe,Northern Europe
SHIGEO,Asia,Eastern Asia
SHIGERU,Asia,Eastern Asia
SHIRLEY,Europe,Northern Europe
SHOJI,Asia,Eastern Asia
SIDNEY,Europe,Northern Europe
SIENNA,Asia,South-Eastern Asia
SIERRA,Asia,South-Eastern Asia
SILAS,Africa,Eastern Africa
SIMON,Europe,Northern Europe
SIMRAN,Asia,Western Asia
SKYLAR,Asia,Western Asia
SLOANE,Europe,Western Europe
SOFIA,Europe,Eastern Europe
SONJA,Europe,Southern Europe
SOPHIA,Asia,Western Asia
SOPHIE,Europe,Western Europe
SPENCER,Europe,Northern Europe
STACEY,Europe,Northern Europe
STACY,Europe,Northern Europe
STANLEY,Europe,Northern Europe
STELLA,Asia,Western Asia
STEPHANIE,Europe,Northern Europe
STEPHEN,Europe,Northern Europe
STEVE,Europe,Northern Europe
STEVEN,Europe,Northern Europe
STUART,Europe,Northern Europe
SUMMER,Asia,Southern Asia
SUSAN,Europe,Northern Europe
SUZANNE,Europe,Western Europe
SYDNEY,Europe,Northern Europe
SYLVIA,Africa,Southern Africa
SYLVIE,Europe,Western Europe
TAKASHI,Asia,Eastern Asia
TAKESHI,Asia,Eastern Asia
TAMARA,Asia,Western Asia
TAMMY,Europe,Northern Europe
TANIA,Asia,Southern Asia
TANNER,Europe,Northern Europe
TANYA,Europe,Eastern Europe
TARA,Asia,Western Asia
TARYN,Africa,Southern Africa
TATSUO,Asia,Eastern Asia
TAYLOR,Europe,Northern Europe
TEAGAN,Asia,Western Asia
TERENCE,Europe,Northern Europe
TERESA,Europe,Northern Europe
TERRANCE,Europe,Northern Europe
TERRENCE,Europe,Northern Europe
TERRY,Europe,Northern Europe
TERUKO,Asia,Eastern Asia
TERUO,Asia,Eastern Asia
TESSA,Europe,Western Europe
THELMA,Africa,Southern Africa
THEO,Europe,Western Europe
THEODORE,Africa,Middle Africa
THERESA,Europe,Northern Europe
THOMAS,Europe,Western Europe
TIANNA,Africa,Eastern Africa
TIFFANY,Europe,Northern Europe
TIMOTHY,Europe,Northern Europe
TINA,Asia,Western Asia
TODD,Europe,Northern Europe
TORI,Asia,Eastern Asia
TOSHIKO,Asia,Eastern Asia
TOSHIO,Asia,Eastern Asia
TRACEY,Europe,Northern Europe
TRACY,Europe,Northern Europe
TRAVIS,Europe,Northern Europe
TREVOR,Europe,Northern Europe
TRICIA,Europe,Northern Europe
TRINA,Europe,Northern Europe
TRINITY,Asia,South-Eastern Asia
TRISTAN,Asia,Western Asia
TROY,Europe,Northern Europe
TSUTOMU,Asia,Eastern Asia
TY,Asia,South-Eastern Asia
TYLER,Europe,Northern Europe
TYSON,Europe,Northern Europe
VALERIE,Europe,Western Europe
VANESSA,Africa,Middle Africa
VELMA,Africa,Southern Africa
VERA,Europe,Eastern Europe
VERNA,Africa,Southern Africa
VERNON,Asia,Western Asia
VICKI,Europe,Northern Europe
VICTOR,Europe,Eastern Europe
VICTORIA,Europe,Eastern Europe
VINCENT,Europe,Western Europe
VIOLA,Asia,Western Asia
VIOLET,Europe,Northern Europe
VIRGINIA,Europe,Eastern Europe
VIVIAN,Europe,Eastern Europe
WADE,Europe,Northern Europe
WALKER,Europe,Western Europe
WALLACE,Africa,Eastern Africa
WALTER,Europe,Western Europe
WANDA,Africa,Southern Africa
WARREN,Europe,Northern Europe
WAYNE,Europe,Northern Europe
WENDY,Europe,Northern Europe
WESLEY,Europe,Northern Europe
WESTON,Europe,Northern Europe
WHITNEY,Europe,Northern Europe
WILFRED,Africa,Eastern Africa
WILFRID,Europe,Western Europe
WILLIAM,Europe,Northern Europe
WILLOW,Europe,Northern Europe
WILMA,Europe,Western Europe
WING,Asia,Eastern Asia
WINIFRED,Europe,Northern Europe
WINNIFRED,Africa,Eastern Africa
WREN,Europe,Northern Europe
WYATT,Europe,Northern Europe
XANDER,Asia,Western Asia
XAVIER,Europe,Western Europe
YOSHIKO,Asia,Eastern Asia
YOSHIO,Asia,Eastern Asia
YVONNE,Europe,Western Europe
ZACHARY,Africa,Eastern Africa
ZARA,Asia,Western Asia
ZAYN,Asia,Central Asia
ZOE,Europe,Northern Europe
ZOEY,Europe,Northern Europe
